id;schoolId;schoolType;sex;scorePISAMath;scorePISARead;scorePISAScie;age;scoreKKS;scoreKNS;scoreTMR;scoreKKS_5cat;score5KNS_5cat;scoreTMR_5cat;parEdu;hisei;noPersHous;escs;wealth;income;hedres;cultpos;homepos;studrel;disclima;libuse;ictres;usesch;attcomp;rfsintrp;rfsfumat
2320;152;T;male;448,63;378,00;464,16;17,5;222;54;46;very high;high;medium;11;26;5;-0,790;-0,250;7,5;1,049;0,311;0,410;-0,308;1,838;0,451;1,325;-1,644;0,861;1,230;2,680
2321;152;T;male;550,59;490,69;598,93;17,9;176;52;51;medium;high;medium;16;69;4;1,246;0,000;9,0;1,049;1,314;0,841;-0,625;-0,547;0,285;1,325;-0,378;0,861;;
2322;114;T;female;443,77;542,65;416,62;17,5;220;59;53;very high;very high;high;16;51;4;0,362;-0,928;4,6;1,049;1,314;-0,183;-0,308;0,642;1,223;0,318;0,116;-1,417;0,416;-1,690
2323;114;T;male;464,63;419,87;368,11;17,0;179;45;57;medium;medium;high;11;51;4;-0,282;0,000;9,0;0,078;0,311;0,007;-0,625;0,927;0,675;-0,782;-1,644;0,861;-0,292;1,621
2324;114;T;male;404,25;410,88;396,29;17,4;166;42;49;low;low;medium;11;53;5;0,100;0,504;13,0;1,049;0,311;0,841;-0,873;-1,211;0,081;2,211;0,116;-2,440;-0,292;-1,690
2325;114;T;male;390,44;396,85;418,92;17,1;153;31;41;low;very low;low;11;33;5;-0,837;-0,494;6,3;1,049;0,311;-0,183;-1,290;0,026;-1,847;0,318;-1,644;0,861;2,215;-1,690
2326;114;T;male;442,83;421,62;390,54;17,2;167;45;44;medium;medium;low;11;38;4;-0,843;-1,116;4,0;1,049;1,314;-0,535;-0,625;0,026;0,285;0,318;0,288;-0,108;-0,501;-1,690
2327;114;T;male;513,42;567,16;541,99;17,7;165;47;53;low;medium;high;12;50;7;-0,504;-0,722;5,3;0,078;-1,739;-0,852;-1,089;1,838;-0,049;-0,782;0,116;-2,440;0,151;-0,816
2328;114;T;male;573,49;601,26;578,41;17,5;144;54;52;low;high;medium;11;34;;-0,950;-0,494;6,3;-0,599;-0,560;-0,535;0,666;0,351;-0,864;0,318;-1,644;0,861;0,749;-1,690
2329;114;T;male;309,66;359,62;320,57;17,2;162;47;38;low;medium;low;12;46;4;-0,611;-0,494;6,3;0,078;-1,739;-0,852;-0,625;0,351;0,528;0,318;1,072;-2,440;-0,962;-0,378
2330;114;T;male;436,09;440,07;415,27;16,9;175;58;52;medium;high;medium;;;4;;0,000;9,0;0,078;0,311;0,007;-2,899;-2,238;-1,847;1,325;0,563;0,861;-2,546;-1,690
2331;114;T;male;425,42;424,15;398,02;17,3;180;54;50;medium;high;medium;16;43;3;-0,560;-1,872;2,3;-1,278;-1,739;-1,977;0,166;0,927;0,451;-2,530;-0,378;-0,108;0,416;0,801
2332;114;T;male;341,97;337,48;300,63;16,9;150;41;50;low;low;medium;11;40;4;-0,157;0,767;15,8;1,049;0,311;1,069;-1,290;-1,211;0,371;2,211;0,116;-2,440;0,416;-1,690
2333;114;T;male;525,96;523,90;454,19;17,0;203;52;55;high;high;high;11;43;4;-0,417;0,000;9,0;1,049;0,311;0,206;-0,308;0,642;0,081;1,325;-1,644;0,861;0,151;1,621
2334;114;T;male;367,23;358,46;343,38;17,3;159;46;43;low;medium;low;11;43;4;-0,077;1,054;19,5;1,049;0,311;1,069;-1,089;-1,918;0,451;1,325;0,116;0,861;-0,728;1,142
2335;139;T;female;509,34;524,97;469,14;17,1;220;53;49;very high;high;medium;11;51;5;-0,204;-0,494;6,3;1,049;1,314;0,206;-0,308;-0,776;0,189;0,318;-1,644;-2,440;1,230;2,680
2336;139;T;female;444,56;544,31;505,37;17,5;167;40;48;medium;low;medium;11;19;5;-0,893;0,251;10,8;1,049;1,314;0,622;-0,873;-1,211;-0,049;0,318;-1,644;-2,440;-0,292;-0,378
2337;139;T;female;492,87;522,18;537,39;17,8;214;51;50;very high;medium;medium;12;38;2;-0,485;-0,494;6,3;1,049;1,314;0,007;0,166;-2,809;-0,217;0,318;-1,644;-0,108;2,215;2,680
2338;139;T;female;360,48;429,73;405,69;17,3;181;46;31;medium;medium;very low;11;38;4;-0,551;-0,250;7,5;1,049;1,314;0,206;-0,308;-1,211;1,432;0,318;-1,644;0,861;2,215;1,142
2339;139;T;female;410,83;439,37;451,70;;;;;;;;11;29;5;-0,248;0,767;15,8;1,049;1,314;1,579;-2,899;-2,809;0,371;0,318;-1,644;0,861;2,215;0,511
2340;139;T;female;531,92;597,51;514,00;17,1;196;47;55;high;medium;high;11;31;4;-1,094;-0,928;4,6;1,049;-0,560;-0,697;-0,625;-2,809;0,820;0,318;0,785;0,861;1,230;1,142
2341;139;T;female;502,59;517,73;478,34;17,8;165;50;51;low;medium;medium;11;54;3;-0,480;-0,250;7,5;-0,599;-1,739;-0,697;-0,308;-1,211;-0,864;0,318;-1,644;-0,108;;
